start,end,all_day,category,title,location,source,source_priority,url,score,matched_date
2026-07-06T00:00:00+08:00,2026-07-07T00:00:00+08:00,True,新能源汽车,吉利银河 TT 全球首秀见面会（具体时间待定）,上海 1862 时尚艺术中心,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4403&noapp=1,9,07月06日 00:00
2026-07-06T18:00:00+08:00,2026-07-06T19:00:00+08:00,False,新能源汽车,全新坦克 300 开启预售,线上,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4381&noapp=1,10,07月06日 18:00
2026-07-07T18:00:00+08:00,2026-07-07T19:00:00+08:00,False,科技数码,Nothing Ear (3a) 真无线耳机及 Nothing Phone (4b) 新品发布会,线上,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4402&noapp=1,10,07月07日 18:00
2026-07-08T00:00:00+08:00,2026-07-09T00:00:00+08:00,True,新能源汽车,极氪 9X 五座版开启预售（具体时间待定）,线上,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4405&noapp=1,9,07月08日 00:00
2026-07-08T00:00:00+08:00,2026-07-09T00:00:00+08:00,True,科技数码,全新奔驰纯电 GLC 上市盛典（具体时间待定）,北京首钢园三高炉,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4365&noapp=1,9,07月08日 00:00
2026-07-08T09:00:00+08:00,2026-07-08T10:00:00+08:00,False,科技数码,Momenta 香港联合交易所挂牌上市,香港联合交易所,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=4376&noapp=1,10,07月08日 09:00
2026-07-09T00:00:00+08:00,2026-07-10T00:00:00+08:00,True,新能源汽车,腾势 Z 全球上市首秀登陆古德伍德速度节（具体时间待定）,英国古德伍德速度节,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4406&noapp=1,9,07月09日 00:00
2026-07-09T00:00:00+08:00,2026-07-10T00:00:00+08:00,True,新能源汽车,蔚来 ES8 大五座版正式发布上市（具体时间待定）,线上,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4374&noapp=1,9,07月09日 00:00
2026-07-09T22:00:00+08:00,2026-07-09T23:00:00+08:00,False,科技数码,索尼 RX10 V 黑卡相机发布,线上,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=4408&noapp=1,10,07月09日 22:00
2026-07-10T00:00:00+08:00,2026-07-11T00:00:00+08:00,True,科技数码,长征十号乙首飞（预测）（具体时间待定）,海南商业航天发射场二号工位,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=4398&noapp=1,9,07月10日 00:00
2026-07-12T00:00:00+08:00,2026-07-13T00:00:00+08:00,True,新能源汽车,2027 款奇瑞星途 ES 正式上市（具体时间待定）,线上,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4407&noapp=1,9,07月12日 00:00
